label,wall_mean_s,cpu_user_s,cpu_sys_s,peak_rss_kib,out_bytes
A_clumpify_c1_m1G,93.83052578038,1414.23,11.65,637800,6485997691
A_clumpify_c1_m2G,136.76400128653998,1568.70,17.53,1778976,6560864280
A_clumpify_c1_m4G,166.31846592606001,1616.04,28.02,3785780,6605687494
A_clumpify_c1_m8G,185.2774858797,1622.66,51.97,7739056,6639573808
A_clumpify_c1_m16G,200.68017644742,1615.75,80.82,14006740,6672041295
B_clumpify_c1_m1G,92.26369942795999,1433.98,10.76,692552,6485997691
B_clumpify_c2_m1G,95.15913503694,1479.32,11.23,648548,6298695386
B_clumpify_c3_m1G,98.93217387544,1716.11,11.53,687752,5977682041
B_clumpify_c4_m1G,98.0059388304,1675.93,10.70,690356,5758693145
B_clumpify_c5_m1G,111.07174522682,2182.38,12.24,814672,5533980940
B_clumpify_c6_m1G,177.52265918214,3249.75,12.19,1007372,5225889794
B_clumpify_c7_m1G,241.97238065631998,4366.72,14.44,997848,5089527563
B_clumpify_c8_m1G,508.05532386929997,8597.80,14.70,891512,5016764573
B_clumpify_c9_m1G,573.2486774905201,9612.11,15.25,1010276,5008833935
C_plain_c1,65.62722914404,1164.47,8.70,86180,5723745203
C_plain_c2,68.49079757592,1266.73,8.69,90960,5521304296
C_plain_c3,73.90452187384,1358.63,7.36,93824,5248931850
C_plain_c4,71.57268172367999,1310.64,6.94,89108,5104988085
C_plain_c5,95.9361487669,1709.55,7.12,86772,4879462702
C_plain_c6,169.87269674594,2888.59,7.54,87072,4616203195
C_plain_c7,245.64198755862,4108.52,7.67,87100,4520546168
C_plain_c8,556.14998493882,9041.87,7.63,87012,4433561505
C_plain_c9,630.1964502894,10197.95,7.73,86756,4424433669
